timestamp,number_of_tests,sha256_average_ms,sha256_digest_bytes,ml_dsa_keygen_average_ms,ml_dsa_signing_average_ms,ml_dsa_verification_average_ms,ml_dsa_public_key_bytes,ml_dsa_secret_key_bytes,ml_dsa_signature_bytes,sha256_detected_change,ml_dsa_detected_change
2026-08-13T18:48:16,30,0.0016829210001257403,32,14.154890000160472,87.49513999840322,17.331236667329602,1312,2560,2420,True,True
2026-08-13T18:48:20,30,0.001610057333309669,32,14.241996663622558,79.21196000049046,18.28658333106432,1312,2560,2420,True,True
2026-08-13T18:48:24,30,0.0017374853331421037,32,19.600863331773628,78.5029866664748,17.9011700010354,1312,2560,2420,True,True
2026-08-13T18:48:29,30,0.0016236206666508223,32,14.681133333457788,95.23572666754869,17.581219999313664,1312,2560,2420,True,True
2026-08-13T18:48:33,30,0.0019044439999076227,32,14.927669999209078,78.45852666602393,17.300300000351854,1312,2560,2420,True,True
2026-08-13T18:48:37,30,0.0019644703333324288,32,14.822040001066247,88.657223333333,18.53961999974369,1312,2560,2420,True,True
2026-08-13T18:48:41,30,0.0017139433333553218,32,14.999253333371598,77.66809333261335,17.875453333059948,1312,2560,2420,True,True
2026-08-13T18:48:46,30,0.0016442953334383976,32,15.472896666809296,100.91134333391285,17.956296665943228,1312,2560,2420,True,True
2026-08-13T18:48:50,30,0.0017144713334467571,32,14.414820000820328,74.91103333304636,18.09892666594048,1312,2560,2420,True,True
2026-08-13T18:48:54,30,0.0016459410001698415,32,13.83174666504298,86.05630000092788,17.39078333436434,1312,2560,2420,True,True
